Station	Header	Station_Code	Station_Country	Station_Name	Station_LongName	Station_ActiveFromDate	Station_ActiveUntilDate	Station_ProgramGovernance	Station_StationGovernance	Station_PURPM	Station_Latitude	Station_LatitudeRange	Station_Longitude	Station_LongitudeRange	Station_Geometry	Station_DataType	Station_WLTYP	Station_MSTAT	Station_Notes	Station_Deprecated
Station	Record	6215	SE	AH 1	AH 1	2015		H	545	E~S~T	60.22000	0.05000	18.97533	0.10000		ZB	C	B		false 
Station	Record	6216	SE	AH 10	AH 10	2015		H	545	E~S~T	59.75800	0.05000	19.58917	0.10000		ZB	C	B		false 
Station	Record	6217	SE	AH 2	AH 2	2015		H	545	E~S~T	60.16067	0.05000	18.98850	0.10000		ZB	C	B		false 
Station	Record	6218	SE	AH 3	AH 3	2015		H	545	E~S~T	60.05467	0.05000	18.95850	0.10000		ZB	C	B		false 
Station	Record	6219	SE	AH 4	AH 4	2015		H	545	E~S~T	60.02533	0.05000	19.11600	0.10000		ZB	C	B		false 
Station	Record	6220	SE	AH 5	AH 5	2015		H	545	E~S~T	59.96583	0.05000	19.21817	0.10000		ZB	C	B		false 
Station	Record	6214	SE	ADLERG	ADLERG	2003		H	545	T~S	54.75000	0.05000	14.33333	0.10000		CW	C	RH	Documentation of the monitoring station ADLERG operated by Federal Maritime and Hydrographic Agency of Germany (BSH)	false 
Station	Record	6221	SE	AH 6	AH 6	2015		H	545	E~S~T	59.91433	0.05000	19.16317	0.10000		ZB	C	B		false 
Station	Record	6222	SE	AH 7	AH 7	2015		H	545	E~S~T	59.96233	0.05000	19.32700	0.10000		ZB	C	B		false 
Station	Record	6223	SE	AH 8	AH 8	2015		H	545	E~S~T	59.91083	0.05000	19.26883	0.10000		ZB	C	B		false 
Station	Record	6224	SE	AH 9	AH 9	2015		H	545	E~S~T	59.87283	0.05000	19.31650	0.10000		ZB	C	B		false 
Station	Record	6225	SE	ALS	ALSBÄCK	2008		O	545	T~E~S	58.32000	0.05000	11.54667	0.10000		ZB	CF	B		false 
Station	Record	6226	SE	Ängskärsklubb	Ängskärsklubb	1972		H~NTL	545	T~S	60.53333	0.05000	18.16667	0.10000		CF	MO	RH	Ängskärsklubb	false 
Station	Record	6227	SE	ANHOLT E	ANHOLT E	1982		O~H	545	E~S~T	56.66667	0.05000	12.11667	0.10000		HY~EU~PP~ZP~ZB~PR~NU	MO	RP~B	High frequency monitoring station for HELCOM.  Includes humic data.  Sampling depth 56 metres. Kattegat E.	false 
Station	Record	6228	SE	Åv 1	Åv 1	1994		H	545	T~S	62.48767	0.05000	17.72800	0.10000		EF		RH		false 
Station	Record	6229	SE	Åv 2	Åv 2	1994		H	545	T~S	62.46183	0.05000	17.70317	0.10000		EF		RH		false 
Station	Record	6230	SE	B 1	B 1	2015		H	545	E~S~T	64.57550	0.05000	21.88833	0.10000		ZB	C	B		false 
Station	Record	6231	SE	B 3	B 3	2010		H	545	E~S~T	64.58033	0.05000	21.99717	0.10000		ZB	C	B		false 
Station	Record	6232	SE	B 4	B 4	2008		H	545	E~S~T	64.53617	0.05000	21.80617	0.10000		ZB	MO	B		false 
Station	Record	6233	SE	B 5	B 5	2008		H	545	E~S~T	64.50467	0.05000	21.74400	0.10000		ZB	MO	B		false 
Station	Record	6234	SE	B1	B1	2008		H	545	E~S~T	58.80467	0.05000	17.62133	0.10000		HY~EU~PP~ZP~PR~NU		B	High frequency monitoring station for HELCOM.  Sampling depth 42 metres.	false 
Station	Record	6235	SE	B1-BOTTENVIKEN	B1-BOTTENVIKEN	2008		H	545	E~S~T	64.57617	0.05000	21.88883	0.10000		ZB	MO	B		false 
Station	Record	6236	SE	B3	B3	2008		H	545	E~S~T	64.58017	0.05000	21.99733	0.10000		ZB	MO	B		false 
Station	Record	6237	SE	B7	B7	2000		H	545	E~S~T	63.52500	0.05000	19.80817	0.10000		HY~EU~PP~ZP~PB~PR~NU	C	B	Winter nutrients.  Frequent monitoring station for HELCOM.  Includes humic data.  Sampling depth 21 metres.	false 
Station	Record	6238	SE	BCSIII-10	BCSIII-10	1980		H	545	E~S~T	55.55500	0.05000	18.40000	0.10000		HY~EU~NU			Frequent monitoring station for HELCOM.  Includes humic data.  Sampling depth 90 metres.	false 
