dyntaxa_scientific_name	helcom_peg_scientific_name	ices_rlist
Planktolyngbya lacustris	Planktolyngbya lacustris	PEG_BVOL
Planktolyngbya limnetica	Planktolyngbya limnetica	PEG_BVOL
Planktolyngbya	Planktolyngbya	PEG_BVOL
Planktothrix agardhii	Planktothrix agardhii	PEG_BVOL
Planktothrix	Planktothrix	PEG_BVOL
Pseudanabaena acicularis	Pseudanabaena acicularis	PEG_BVOL
Pseudanabaena limnetica	Pseudanabaena limnetica	PEG_BVOL
Pseudanabaena mucicola	Pseudanabaena mucicola	PEG_BVOL
Pseudanabaena	Pseudanabaena	PEG_BVOL
Romeria	Romeria	PEG_BVOL
Spirulina major	Spirulina major	PEG_BVOL
Spirulina	Spirulina	PEG_BVOL
Tychonema bourrellyi	Tychonema bourrellyi	PEG_BVOL
Achroonema lentum	Achroonema lentum	PEG_BVOL
Achroonema proteiforme	Achroonema proteiforme	PEG_BVOL
Anabaena baltica	Anabaena baltica	PEG_BVOL
Anabaena cylindrica	Anabaena cylindrica	PEG_BVOL
Anabaena inaequalis	Anabaena inaequalis	PEG_BVOL
Anabaena oscillarioides	Anabaena oscillarioides	PEG_BVOL
Dolichospermum planctonicum	Anabaena planctonica	PEG_BVOL
Anabaena torulosa	Anabaena torulosa	PEG_BVOL
Anabaena	Anabaena	PEG_BVOL
Anabaenopsis elenkinii	Anabaenopsis elenkinii	PEG_BVOL
Anabaenopsis	Anabaenopsis	PEG_BVOL
Aphanizomenon flosaquae	Aphanizomenon flosaquae	PEG_BVOL
Aphanizomenon gracile	Aphanizomenon gracile	PEG_BVOL
Aphanizomenon hungaricum	Aphanizomenon hungaricum	PEG_BVOL
Aphanizomenon skujae	Aphanizomenon skujae	PEG_BVOL
Aphanizomenon yezoense	Aphanizomenon yezoense	PEG_BVOL
Aphanizomenon	Aphanizomenon	PEG_BVOL
Cuspidothrix issatschenkoi	Cuspidothrix issatschenkoi	PEG_BVOL
Dolichospermum crassum	Dolichospermum crassum	PEG_BVOL
Dolichospermum flosaquae	Dolichospermum flosaquae	PEG_BVOL
Dolichospermum heterosporum	Dolichospermum heterosporum	PEG_BVOL
Dolichospermum macrosporum	Dolichospermum macrosporum	PEG_BVOL
Dolichospermum smithii	Dolichospermum smithii	PEG_BVOL
Dolichospermum spiroides	Dolichospermum spiroides	PEG_BVOL
Dolichospermum	Dolichospermum	PEG_BVOL
Gloeotrichia echinulata	Gloeotrichia echinulata	PEG_BVOL
Gloeotrichia	Gloeotrichia	PEG_BVOL
Nodularia baltica	Nodularia baltica	PEG_BVOL
Nodularia harveyana	Nodularia harveyana	PEG_BVOL
Nodularia litorea	Nodularia litorea	PEG_BVOL
Nodularia spumigena	Nodularia spumigena	PEG_BVOL
Nodularia	Nodularia	PEG_BVOL
Chroomonas	Chroomonas	PEG_BVOL
Chroomonas baltica	Chroomonas baltica	PEG_BVOL
Chroomonas vectensis	Chroomonas vectensis	PEG_BVOL
Cryptomonas curvata	Cryptomonas curvata	PEG_BVOL
Cryptomonas erosa	Cryptomonas erosa	PEG_BVOL
Cryptomonas marssonii	Cryptomonas marssonii	PEG_BVOL
Cryptomonas obovata	Cryptomonas obovata	PEG_BVOL
Cryptomonas ovata	Cryptomonas ovata	PEG_BVOL
Cryptomonas platyuris	Cryptomonas platyuris	PEG_BVOL
